query1,query2,county,state,city,highway,news_id,report_key
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37TH AVE,CBMifEFVX3lxTE1RVUxFUVpVb21zZndtbGdxcnNIU3g1R0czdjcxUUI4TFBrVjZpQ1RwWnYyQXFzS1lrTVdIU3NJcFVWdlgxV2hURXFxdFZMMEloUTN6TnlpSkgxUlNUWEVvWHBtU3h2aEd2ZVdvSXpYeXNrV3YxODE3UmdVYmk,ATK171295202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37TH AVE,CBMiiAFBVV95cUxORHg1cVg4SjJ4X0QzLTdZZHZyaGxIZV80Q0RVZFM2WDZITDJnY0FKTEh6YnBlUVZ2ZVRKN2RWcVFjbGpkdFFXN281c3BXQmZOWl9Gdmc4ZHdsVFRwWERFbUhyYVp4Q05nSW85dXR3WVRfWGN5WkV2LUNMX2xTdnJIMVp4bGJLQ3VH0gGOAUFVX3lxTE9TOThsVklMOXVrYmxOMnJURHE5TTNqWmIwVjk4UURWNzc0aUIwOTNGaXB3eS0tUkhwMzctWTZ3OEhaNi13NzJZRzcxRjg5SU5FVWZBaThQVzVUUUtzQndqc0NCeGJGRkxVTUttM21EU3RhWmRQeUl4ZURPbWJ0SDhiYVJnNnU4RWRpSWRfYVE,ATK171295202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37TH AVE,CBMisAFBVV95cUxOX2VJQVlRbmxHV0I5NkN3cjM4Q3R4MllsZTRpRDF1VFhwU3d3Qm1UNVl2a3RzdUVaRl9TNFB5S1drVUgzRHJGQ3RHRFFMT2kzTXVhTlZkQ2FaSkxUcVN0RDRGZWFJa29OYy16WDNuQnp4a3RFZUsxa0FIaFd2TTRQV3RtaUx3MjN0UkQwbWpJLWloUHptY1lBWDZPT0xvQXNSMVpKdlZaZnBPeERXM196Sw,ATK171295202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37TH AVE,CBMimgFBVV95cUxONnBQd1o4bmVXcW1LUXptQVhLNGtRbGZ5VG1qc1FTUkNNb0xubjdNX1dfTTl4TDdzeURPal9HU01pSWZRWk1tV2pGZS1oWWN4SHBGWkR3RWszZGIzX1piRy1HWHdIZHhmMTlIcmZ3bzhlS3pvM28wNG02YTdYeHc1T1hXUzNubUwyYjlWaW52eXlDUzIxR1Q5UDh30gGfAUFVX3lxTE1DU1ZjUVBnLUlDRlplY19QNk5VSm5JTDZCeS1QcElGeVZ5TlIxZ2JXSVVzTnpMRGhBS0R3cmgxVTFxR2FRWi1fdW9rRDZJWEFGUF9tbHkzSVlxcFFIa0ZISi1jM3RKeFhlU1RyUk9hMnZzUEdYd2ZYcHNaX2tjekdwa3p5bEkwY0N5UXlSS0tlZUNmQVRHaWp0LUk5N3ZuNA,ATK171295202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37TH AVE,CBMigwFBVV95cUxQSmxJRVFFZ2YxOEpnVm13cHI0OEw0M2xlMTE3cHlDcUc5LVRYX19FMVVoc1oxSXNUMlhrS1dFUGdZVnltME1qZTBpRUZhMUtIRVpEM1FDd2dyUHE0ZGhDWXFLUlVrVHFfWmlFZzB2RVJnN3N3TG05RjNfdF8xRmxSZEU1ONIBiwFBVV95cUxQS1hqQnI2aHMyTzNTbjFnYjFIZlU3VXdXMzZGREJrNzZWdmxuR3NxVmM1dlpIdUFPZkhPQVhibFFCVklrYUtPNm5LNVpvRE9jQjBZdE9Nc2N2QnhwNTJVRkE3eU50QnJCdWN1T1FUUVNqaldRaWFtNFhiMm1fOWRWNGhUa29GR19PV2Rr,ATK171295202207
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,HIGH STREET,,UP0522NC025202205
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,50TH AVE,,ATK170342202204
train,accident,ALAMEDA,CALIFORNIA,BERKELEY,CAMELIA ST.,,UP0422NC014202204
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,HIGH STREET,,UP0422NC001202204
train,accident,ALAMEDA,CALIFORNIA,SAN LEANDRO,HESPERIAN BLVD,,ATK169517202201
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,MARITIME STREET,,BNSFCA0122203202201
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,50TH AVE,,ATK169289202112
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,HIGH ST,,ATK169237202112
train,accident,ALAMEDA,CALIFORNIA,UNION CITY,ALVARADO BLVD,,ATK169147202111
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,37TH AVE,,ATK168735202110
train,accident,ALAMEDA,CALIFORNIA,SUNOL,BOND ST,,UP0921NC031202109
train,accident,ALAMEDA,CALIFORNIA,FREMONT,DUSTERBERRY WAY,,UP0921NC004202109
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,MARITIME STREET,,BNSFCA0821202202108
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,MARITIME STREET,,BNSFCA0721204202107
train,accident,ALAMEDA,CALIFORNIA,OAKLAND,FRANKLIN ST,,ATK167768202107
