subject,action,spot,date,page,url
train,crash,crossing,2010-10-31,1,
train,crash,crossing,2010-11-01,1,
train,crash,crossing,2010-11-02,1,
train,crash,crossing,2010-11-03,1,
train,crash,crossing,2010-11-04,1,
train,crash,crossing,2010-11-05,1,
train,crash,crossing,2010-11-06,1,
train,crash,crossing,2010-11-07,1,
train,crash,crossing,2010-11-08,1,
train,crash,crossing,2010-11-09,1,
train,crash,crossing,2010-11-10,1,
train,crash,crossing,2010-11-11,1,
train,crash,crossing,2010-11-12,1,
train,crash,crossing,2010-11-13,1,
train,crash,crossing,2010-11-14,1,
train,crash,crossing,2010-11-15,1,
train,crash,crossing,2010-11-16,1,
train,crash,crossing,2010-11-17,1,
train,crash,crossing,2010-11-18,1,
train,crash,crossing,2010-11-19,1,
train,crash,crossing,2010-11-20,1,
train,crash,crossing,2010-11-21,1,
train,crash,crossing,2010-11-22,1,
train,crash,crossing,2010-11-23,1,https://wpde.com/news/local/coroner-ids-woman-killed-in-georgetown-county-crash
train,crash,crossing,2010-11-24,1,
train,crash,crossing,2010-11-25,1,
train,crash,crossing,2010-11-26,1,
train,crash,crossing,2010-11-27,1,
train,crash,crossing,2010-11-28,1,
train,crash,crossing,2010-11-29,1,
train,crash,crossing,2010-11-30,1,
train,crash,crossing,2010-12-01,1,
train,crash,crossing,2010-12-02,1,
train,crash,crossing,2010-12-03,1,
train,crash,crossing,2010-12-04,1,
train,crash,crossing,2010-12-05,1,
train,crash,crossing,2010-12-06,1,
train,crash,crossing,2010-12-07,1,
train,crash,crossing,2010-12-08,1,
train,crash,crossing,2010-12-09,1,
train,crash,crossing,2010-12-10,1,
train,crash,crossing,2010-12-11,1,
train,crash,crossing,2010-12-12,1,
train,crash,crossing,2010-12-13,1,
train,crash,crossing,2010-12-14,1,
train,crash,crossing,2010-12-15,1,
train,crash,crossing,2010-12-16,1,
train,crash,crossing,2010-12-17,1,https://www.wtol.com/article/news/train-crash-involving-truck-under-investigation/512-e60cfa80-94c7-44f3-bd3d-60efe35dc5ad
train,crash,crossing,2010-12-18,1,
train,crash,crossing,2010-12-19,1,
train,crash,crossing,2010-12-20,1,
train,crash,crossing,2010-12-21,1,
train,crash,crossing,2010-12-22,1,
train,crash,crossing,2010-12-23,1,
train,crash,crossing,2010-12-24,1,
train,crash,crossing,2010-12-25,1,
train,crash,crossing,2010-12-26,1,
train,crash,crossing,2010-12-27,1,
train,crash,crossing,2010-12-28,1,
train,crash,crossing,2010-12-29,1,
train,crash,crossing,2010-12-30,1,
train,crash,crossing,2010-12-31,1,
train,crash,crossing,2011-01-01,1,
train,crash,crossing,2011-01-02,1,
train,crash,crossing,2011-01-03,1,
train,crash,crossing,2011-01-04,1,
train,crash,crossing,2011-01-05,1,
train,crash,crossing,2011-01-06,1,
train,crash,crossing,2011-01-07,1,
train,crash,crossing,2011-01-08,1,
train,crash,crossing,2011-01-09,1,
train,crash,crossing,2011-01-10,1,
train,crash,crossing,2011-01-11,1,
train,crash,crossing,2011-01-12,1,
train,crash,crossing,2011-01-13,1,
